Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-23,9,9190,45770,186,179,0,1303,2022-04-23,2022-04-22,136134,957.145165792528
2022-04-23,9,9261,24263,171,85,0,533,2022-04-23,2022-04-22,73065,729.4874426880175
2022-04-23,9,9262,17883,144,45,0,290,2022-04-23,2022-04-22,52415,553.27673375942
2022-04-23,9,9263,16162,130,69,0,430,2022-04-23,2022-04-22,47612,903.1336637822399
2022-04-23,9,9271,44815,280,56,0,629,2022-04-23,2022-04-22,119479,526.4523472744164
2022-04-23,9,9272,31440,216,79,0,451,2022-04-23,2022-04-22,78355,575.5854763576032
2022-04-23,9,9273,44214,158,93,0,1131,2022-04-23,2022-04-22,123390,916.6058837831267
2022-04-23,9,9274,58037,294,186,0,1429,2022-04-23,2022-04-22,161191,886.5259226631761
2022-04-23,9,9275,74546,556,256,1,1399,2022-04-23,2022-04-22,193454,723.1693322443577
2022-04-23,9,9276,31599,252,54,0,369,2022-04-23,2022-04-22,77313,477.2806643125994
2022-04-23,9,9277,47859,343,130,0,863,2022-04-23,2022-04-22,121800,708.5385878489327
2022-04-23,9,9278,40511,193,161,0,1058,2022-04-23,2022-04-22,101745,1039.8545383065507
2022-04-23,9,9279,37403,223,102,4,624,2022-04-23,2022-04-22,97244,641.6848340257496
2022-04-23,9,9361,12782,55,33,0,217,2022-04-23,2022-04-22,42052,516.0277751355464
2022-04-23,9,9362,51536,159,183,0,908,2022-04-23,2022-04-22,152270,596.309187627241
2022-04-23,9,9363,14667,118,50,0,303,2022-04-23,2022-04-22,42535,712.3545315622429
2022-04-23,9,9371,31864,217,158,0,774,2022-04-23,2022-04-22,102998,751.4709023476184
2022-04-23,9,9372,46747,268,136,0,890,2022-04-23,2022-04-22,128094,694.8022545942823
2022-04-23,9,9373,45407,243,189,0,1063,2022-04-23,2022-04-22,135225,786.0972453318543
2022-04-23,9,9374,34997,233,120,0,785,2022-04-23,2022-04-22,94645,829.4151830524592
2022-04-23,9,9375,70568,255,302,0,1411,2022-04-23,2022-04-22,194275,726.2900527602625
2022-04-23,9,9376,53085,278,170,0,883,2022-04-23,2022-04-22,148477,594.7049037898125
2022-04-23,9,9377,25833,301,1,0,564,2022-04-23,2022-04-22,71696,786.6547645614818
2022-04-23,9,9461,22521,146,99,0,660,2022-04-23,2022-04-22,76674,860.7872290476564
2022-04-23,9,9462,23297,160,36,0,280,2022-04-23,2022-04-22,74048,378.133102852204
2022-04-23,9,9463,13949,117,54,0,361,2022-04-23,2022-04-22,40842,883.8940306547182
2022-04-23,9,9464,16365,163,59,0,415,2022-04-23,2022-04-22,45173,918.6903681402607
2022-04-23,9,9471,54095,238,237,0,1650,2022-04-23,2022-04-22,147497,1118.6668203421086
